link_id,source_issue,target_issue,link_type
LINK-01052,BANK-2097,BANK-3045,duplicates
LINK-01053,BI-2562,SEC-3384,duplicates
LINK-01054,CRM-650,CLOUD-2451,is duplicated by
LINK-01055,MOB-4188,ERP-1174,relates to
LINK-01056,BANK-4176,CLOUD-4490,is duplicated by
LINK-01057,DATA-2699,ECOM-4348,duplicates
LINK-01058,ERP-2027,SEC-1654,duplicates
LINK-01059,SEC-2444,SEC-778,is blocked by
LINK-01060,PORTAL-2802,CRM-4065,is duplicated by
LINK-01061,BI-971,CRM-816,relates to
LINK-01062,CLOUD-4780,ECOM-1730,is duplicated by
LINK-01063,ERP-164,ECOM-4403,is duplicated by
LINK-01064,BANK-2170,ECOM-476,is blocked by
LINK-01065,DATA-2736,CRM-4670,is duplicated by
LINK-01066,BANK-3888,DATA-386,is duplicated by
LINK-01067,ERP-2757,CLOUD-38,relates to
LINK-01068,DATA-2654,MOB-4610,relates to
LINK-01069,MOB-2610,BI-2540,blocks
LINK-01070,PORTAL-4597,PORTAL-679,duplicates
LINK-01071,ECOM-2633,MOB-1045,is duplicated by
LINK-01072,BI-1873,ERP-592,relates to
LINK-01073,BI-1511,ERP-2405,is blocked by
LINK-01074,PORTAL-4347,ECOM-1796,duplicates
LINK-01075,SEC-2923,DATA-2112,is blocked by
LINK-01076,CLOUD-773,BI-678,is duplicated by
LINK-01077,BANK-2296,BI-2150,is duplicated by
LINK-01078,PORTAL-4388,CLOUD-799,is duplicated by
LINK-01079,DATA-1433,BANK-3178,is blocked by
LINK-01080,PORTAL-1807,DATA-4859,blocks
LINK-01081,PORTAL-1105,SEC-3298,duplicates
LINK-01082,ERP-3752,ERP-4244,duplicates
LINK-01083,MOB-1212,SEC-2773,is blocked by
LINK-01084,BANK-947,ERP-1285,duplicates
LINK-01085,CRM-30,SEC-778,blocks
LINK-01086,BI-973,ERP-4042,blocks
LINK-01087,BANK-2317,SEC-4134,is duplicated by
LINK-01088,DATA-1190,PORTAL-1227,is duplicated by
LINK-01089,CRM-3570,SEC-609,relates to
LINK-01090,CLOUD-4922,SEC-1919,is duplicated by
LINK-01091,DATA-3923,BANK-2607,relates to
LINK-01092,PORTAL-4136,BANK-4207,is duplicated by
LINK-01093,SEC-2528,DATA-1088,is blocked by
LINK-01094,CLOUD-1986,DATA-924,is blocked by
LINK-01095,CLOUD-4636,SEC-4716,is blocked by
LINK-01096,CRM-3373,PORTAL-3654,duplicates
LINK-01097,DATA-3375,CRM-4939,is duplicated by
LINK-01098,ECOM-1645,BI-884,is duplicated by
LINK-01099,ECOM-1730,SEC-3739,relates to
LINK-01100,BANK-873,DATA-2134,blocks
LINK-01101,MOB-933,BANK-1421,is duplicated by
LINK-01102,DATA-4139,CRM-2291,blocks
LINK-01103,BI-307,BANK-2529,is duplicated by
LINK-01104,BI-3795,PORTAL-2752,duplicates
LINK-01105,BANK-3424,ECOM-1711,blocks
LINK-01106,CLOUD-1748,CRM-2846,blocks
LINK-01107,MOB-4924,CLOUD-541,is blocked by
LINK-01108,BI-1102,ERP-1905,is duplicated by
LINK-01109,ECOM-2105,CLOUD-1402,blocks
LINK-01110,ECOM-3719,SEC-1233,duplicates
LINK-01111,BI-359,CLOUD-3293,duplicates
LINK-01112,BANK-4671,DATA-3741,is duplicated by
LINK-01113,CRM-2164,BANK-3853,is duplicated by
LINK-01114,BI-1862,PORTAL-967,blocks
LINK-01115,CRM-3708,BANK-738,is blocked by
LINK-01116,BI-2781,BI-700,relates to
LINK-01117,DATA-920,ERP-883,relates to
LINK-01118,DATA-4844,BI-4589,relates to
LINK-01119,CLOUD-3675,ERP-3524,relates to
LINK-01120,ECOM-4956,SEC-4847,blocks
LINK-01121,MOB-4452,ECOM-3199,is blocked by
LINK-01122,CRM-2450,ECOM-1925,blocks
LINK-01123,ERP-1550,ERP-4174,is duplicated by
LINK-01124,CLOUD-1405,BANK-781,is duplicated by
LINK-01125,ERP-3879,PORTAL-3753,blocks
LINK-01126,DATA-2654,PORTAL-415,blocks
LINK-01127,SEC-4868,ECOM-1277,blocks
LINK-01128,ECOM-539,BI-124,blocks
LINK-01129,SEC-4716,BANK-1640,relates to
LINK-01130,BANK-1709,CRM-2304,duplicates
LINK-01131,CRM-1533,CRM-1644,relates to
LINK-01132,ECOM-3365,ECOM-3860,blocks
LINK-01133,CRM-2100,PORTAL-1171,duplicates
LINK-01134,ERP-2512,CRM-4065,blocks
LINK-01135,ERP-4919,ERP-3094,is duplicated by
LINK-01136,MOB-3147,CLOUD-486,relates to
LINK-01137,DATA-4331,BI-3172,relates to
LINK-01138,BANK-218,ERP-842,blocks
LINK-01139,ECOM-180,BI-3659,is blocked by
LINK-01140,BI-3825,SEC-4764,relates to
LINK-01141,PORTAL-3260,ERP-2210,relates to
LINK-01142,ERP-576,MOB-1286,duplicates
LINK-01143,PORTAL-2709,SEC-3323,relates to
LINK-01144,SEC-4567,ERP-1403,relates to
LINK-01145,DATA-3447,BI-1339,relates to
LINK-01146,DATA-3779,PORTAL-4837,duplicates
LINK-01147,ECOM-3253,CRM-1921,is blocked by
LINK-01148,MOB-1985,SEC-4672,relates to
LINK-01149,CLOUD-88,DATA-2813,relates to
LINK-01150,DATA-4333,BANK-545,is blocked by
LINK-01151,ERP-585,MOB-917,duplicates
LINK-01152,ERP-4878,BI-1067,is blocked by
LINK-01153,PORTAL-2266,MOB-1253,relates to
LINK-01154,CRM-4249,BANK-749,blocks
LINK-01155,MOB-4620,ERP-2221,duplicates
LINK-01156,PORTAL-693,CLOUD-1386,relates to
LINK-01157,MOB-2372,MOB-3789,is blocked by
LINK-01158,ECOM-14,CLOUD-3472,is blocked by
LINK-01159,BI-129,CLOUD-2315,is blocked by
LINK-01160,BANK-2899,BANK-716,is duplicated by
LINK-01161,MOB-2372,CLOUD-2190,duplicates
LINK-01162,BI-3109,MOB-1984,is duplicated by
LINK-01163,SEC-4257,SEC-4803,is blocked by
LINK-01164,SEC-2173,BI-2544,duplicates
LINK-01165,ERP-1294,DATA-3332,is duplicated by
LINK-01166,CRM-4151,BI-4589,relates to
LINK-01167,DATA-2838,BI-2783,is blocked by
LINK-01168,BANK-4278,BANK-1808,is blocked by
LINK-01169,MOB-2499,CRM-1488,is blocked by
LINK-01170,PORTAL-2772,CRM-1921,is blocked by
LINK-01171,DATA-506,BI-2188,blocks
LINK-01172,PORTAL-3990,CRM-4355,relates to
LINK-01173,MOB-736,DATA-93,duplicates
LINK-01174,BI-1496,CLOUD-2467,relates to
LINK-01175,BI-22,CRM-2203,is blocked by
LINK-01176,ERP-4745,BANK-2371,is duplicated by
LINK-01177,ECOM-4915,ERP-4639,relates to
LINK-01178,BANK-1396,DATA-4528,relates to
LINK-01179,ECOM-3126,MOB-4375,duplicates
LINK-01180,BANK-2878,SEC-4020,relates to
LINK-01181,ERP-3855,BI-2191,is blocked by
LINK-01182,ERP-4804,BANK-4480,blocks
LINK-01183,ECOM-905,BANK-2110,relates to
LINK-01184,CRM-797,BANK-1639,is duplicated by
LINK-01185,SEC-1235,BI-1669,is blocked by
LINK-01186,CLOUD-4636,BANK-381,blocks
LINK-01187,CLOUD-3936,MOB-1151,blocks
LINK-01188,MOB-1676,BI-3593,relates to
LINK-01189,CRM-4061,ERP-258,is blocked by
LINK-01190,SEC-995,CRM-1617,relates to
LINK-01191,CLOUD-4106,DATA-983,is duplicated by
LINK-01192,ERP-4081,ERP-1847,duplicates
LINK-01193,ECOM-2008,SEC-2863,blocks
LINK-01194,ERP-4561,BI-370,duplicates
LINK-01195,MOB-2226,CLOUD-4236,is duplicated by
LINK-01196,PORTAL-2176,PORTAL-1016,relates to
LINK-01197,DATA-3582,PORTAL-2589,is blocked by
LINK-01198,BANK-280,SEC-4145,is blocked by
LINK-01199,CLOUD-2764,DATA-4520,blocks
LINK-01200,MOB-1529,ECOM-1073,is blocked by
LINK-01201,ECOM-3253,MOB-4552,relates to
LINK-01202,PORTAL-219,BANK-4260,duplicates
LINK-01203,ERP-4410,MOB-2257,blocks
LINK-01204,SEC-2780,SEC-3108,blocks
LINK-01205,SEC-3241,SEC-4257,is duplicated by
LINK-01206,ERP-2142,BANK-1464,is blocked by
LINK-01207,CRM-2533,BI-4187,relates to
LINK-01208,ERP-1209,BANK-1969,is blocked by
LINK-01209,BI-2592,CRM-4249,is duplicated by
LINK-01210,DATA-3228,ECOM-3420,duplicates
LINK-01211,DATA-2130,BANK-1616,blocks
LINK-01212,PORTAL-2326,ERP-615,relates to
LINK-01213,ERP-774,MOB-4724,duplicates
LINK-01214,PORTAL-4484,ECOM-4918,is duplicated by
LINK-01215,SEC-3173,CLOUD-4002,is duplicated by
LINK-01216,CLOUD-3294,ERP-3434,duplicates
LINK-01217,BANK-939,BI-1887,is duplicated by
LINK-01218,ECOM-3857,CRM-4013,is blocked by
LINK-01219,PORTAL-3414,BI-4371,is blocked by
LINK-01220,PORTAL-4662,MOB-1795,is blocked by
LINK-01221,PORTAL-4008,ERP-1069,duplicates
LINK-01222,CRM-327,CRM-3127,duplicates
LINK-01223,BANK-2865,DATA-3320,is duplicated by
LINK-01224,MOB-1081,DATA-3666,is duplicated by
LINK-01225,MOB-4720,PORTAL-704,relates to
LINK-01226,PORTAL-1443,SEC-1047,relates to
LINK-01227,PORTAL-4953,CLOUD-2924,duplicates
LINK-01228,CRM-1451,ERP-4564,blocks
LINK-01229,CRM-4860,DATA-4180,relates to
LINK-01230,CRM-1921,CRM-3807,relates to
LINK-01231,SEC-4093,BI-4266,duplicates
LINK-01232,CLOUD-2190,ECOM-2829,duplicates
LINK-01233,CRM-165,ERP-4933,is blocked by
LINK-01234,ECOM-1338,CRM-1644,blocks
LINK-01235,BI-3100,BI-1998,is duplicated by
LINK-01236,BANK-280,BI-2471,blocks
LINK-01237,CRM-2381,ECOM-2486,relates to
LINK-01238,BI-1363,CRM-353,blocks
LINK-01239,BANK-2470,ECOM-1879,duplicates
LINK-01240,CLOUD-3945,SEC-1882,relates to
LINK-01241,PORTAL-1316,ERP-2745,is blocked by
LINK-01242,SEC-3512,PORTAL-1735,relates to
LINK-01243,DATA-1409,CRM-1293,relates to
LINK-01244,BI-3510,CLOUD-1521,relates to
LINK-01245,ECOM-4423,BI-2643,relates to
LINK-01246,ERP-2727,ECOM-1826,duplicates
LINK-01247,BANK-4947,SEC-2448,relates to
LINK-01248,CRM-2271,SEC-724,is blocked by
LINK-01249,PORTAL-2586,MOB-1204,relates to
LINK-01250,DATA-3567,ECOM-3435,duplicates
LINK-01251,DATA-685,PORTAL-2321,is duplicated by
LINK-01252,CRM-3798,ECOM-2503,blocks
LINK-01253,CRM-797,BI-4455,blocks
LINK-01254,ERP-2902,CLOUD-3165,relates to
LINK-01255,DATA-3282,CRM-919,duplicates
LINK-01256,ECOM-1685,BI-2518,duplicates
LINK-01257,PORTAL-1012,CLOUD-2487,is blocked by
LINK-01258,BANK-4931,CLOUD-3637,is blocked by
LINK-01259,CLOUD-1762,BANK-2607,is duplicated by
LINK-01260,MOB-3614,BI-3550,relates to
LINK-01261,SEC-2241,ERP-350,is blocked by
LINK-01262,CLOUD-3915,BI-662,duplicates
LINK-01263,CLOUD-677,DATA-4075,relates to
LINK-01264,PORTAL-171,ECOM-4095,is blocked by
LINK-01265,ERP-2135,SEC-4131,is duplicated by
LINK-01266,CRM-1177,BI-1828,is blocked by
LINK-01267,CRM-4470,SEC-4284,relates to
LINK-01268,ECOM-4036,DATA-355,duplicates
LINK-01269,MOB-483,PORTAL-3528,blocks
LINK-01270,CLOUD-130,MOB-1296,relates to
LINK-01271,DATA-4476,CRM-1471,blocks
LINK-01272,SEC-4026,ERP-3587,is duplicated by
LINK-01273,SEC-3543,DATA-4999,duplicates
LINK-01274,ECOM-3580,CLOUD-2268,duplicates
LINK-01275,CRM-3964,PORTAL-4966,is blocked by
LINK-01276,SEC-4847,CRM-3648,blocks
LINK-01277,PORTAL-3197,CLOUD-1909,duplicates
LINK-01278,SEC-3151,MOB-3378,blocks
LINK-01279,ECOM-3365,CRM-2108,blocks
LINK-01280,PORTAL-2143,BANK-899,duplicates
LINK-01281,SEC-1766,BI-3506,duplicates
LINK-01282,PORTAL-4892,BI-207,duplicates
LINK-01283,BANK-190,CLOUD-3889,relates to
LINK-01284,ERP-883,ERP-2998,duplicates
LINK-01285,BI-1288,ECOM-2675,blocks
LINK-01286,ERP-4146,MOB-4913,is duplicated by
LINK-01287,MOB-933,BI-2388,relates to
LINK-01288,CLOUD-3622,MOB-3826,is duplicated by
LINK-01289,SEC-4840,CRM-1137,relates to
LINK-01290,BANK-4998,BANK-3119,blocks
LINK-01291,BI-1961,MOB-732,is blocked by
LINK-01292,SEC-4069,BI-680,blocks
LINK-01293,MOB-4653,DATA-977,blocks
LINK-01294,ERP-3881,ECOM-2656,is duplicated by
LINK-01295,PORTAL-1268,BI-2188,is blocked by
LINK-01296,PORTAL-3827,ERP-2839,blocks
LINK-01297,BI-1339,BI-2386,relates to
LINK-01298,ECOM-4400,SEC-3947,blocks
LINK-01299,DATA-1236,MOB-24,relates to
LINK-01300,SEC-2582,SEC-4336,is blocked by
LINK-01301,DATA-3624,CRM-4921,is blocked by
LINK-01302,BI-2191,MOB-3394,duplicates
LINK-01303,ERP-3572,CRM-2557,blocks
LINK-01304,PORTAL-1272,MOB-1456,blocks
LINK-01305,SEC-3323,ECOM-2879,is blocked by
LINK-01306,ERP-1914,ECOM-3369,is blocked by
LINK-01307,MOB-398,BANK-2742,is duplicated by
LINK-01308,ECOM-4109,BI-2701,duplicates
LINK-01309,MOB-835,SEC-2005,relates to
LINK-01310,SEC-4284,ECOM-3858,blocks
LINK-01311,CLOUD-1715,BI-359,duplicates
LINK-01312,SEC-1797,SEC-1631,is blocked by
LINK-01313,ERP-4571,CRM-4734,blocks
LINK-01314,BANK-1027,BANK-758,blocks
LINK-01315,PORTAL-2399,PORTAL-4848,duplicates
LINK-01316,PORTAL-94,DATA-1922,is blocked by
LINK-01317,ERP-2281,DATA-4467,relates to
LINK-01318,ERP-29,MOB-436,duplicates
LINK-01319,ECOM-3253,PORTAL-1534,duplicates
LINK-01320,CRM-3330,DATA-711,is blocked by
LINK-01321,BI-186,ECOM-3847,is blocked by
LINK-01322,ECOM-1570,MOB-1431,blocks
LINK-01323,ECOM-3735,ERP-2221,blocks
LINK-01324,ECOM-3369,BI-2812,is duplicated by
LINK-01325,BI-2804,CRM-3422,blocks
LINK-01326,MOB-3304,ERP-4055,is blocked by
LINK-01327,MOB-1118,DATA-1433,is duplicated by
LINK-01328,CLOUD-799,SEC-2665,duplicates
LINK-01329,ECOM-4112,CLOUD-2523,blocks
LINK-01330,DATA-517,MOB-1575,blocks
LINK-01331,BANK-1147,CLOUD-1891,is blocked by
LINK-01332,DATA-1206,PORTAL-4969,duplicates
LINK-01333,MOB-4663,ERP-1252,is duplicated by
LINK-01334,ERP-4571,CLOUD-4220,blocks
LINK-01335,MOB-806,MOB-1015,duplicates
LINK-01336,SEC-2567,CLOUD-850,relates to
LINK-01337,SEC-1216,BI-2831,blocks
LINK-01338,CLOUD-4830,DATA-4948,blocks
LINK-01339,CLOUD-4012,CLOUD-1005,duplicates
LINK-01340,ECOM-3362,CLOUD-3622,relates to
LINK-01341,CRM-2674,ERP-779,is duplicated by
LINK-01342,ERP-2003,PORTAL-2861,relates to
LINK-01343,BANK-1421,BANK-3803,is blocked by
LINK-01344,BI-3021,ECOM-3847,is blocked by
LINK-01345,DATA-853,PORTAL-255,blocks
LINK-01346,ERP-2619,PORTAL-2666,blocks
LINK-01347,CRM-1724,BANK-2354,relates to
LINK-01348,ERP-181,BANK-1297,relates to
LINK-01349,ERP-13,SEC-4884,relates to
LINK-01350,PORTAL-2570,CRM-3377,is duplicated by
LINK-01351,DATA-1652,MOB-3485,is blocked by
LINK-01352,CLOUD-3520,CRM-814,is duplicated by
LINK-01353,MOB-747,DATA-4710,is blocked by
LINK-01354,CLOUD-621,ERP-2746,blocks
LINK-01355,ECOM-3465,BI-3221,duplicates
LINK-01356,ECOM-180,DATA-3186,duplicates
LINK-01357,CRM-708,MOB-1625,is blocked by
LINK-01358,MOB-3410,ECOM-3857,relates to
LINK-01359,PORTAL-3766,DATA-1497,is duplicated by
LINK-01360,MOB-2336,DATA-1764,duplicates
LINK-01361,SEC-635,CLOUD-701,is blocked by
LINK-01362,DATA-1021,MOB-4653,blocks
LINK-01363,SEC-3486,MOB-1267,duplicates
LINK-01364,BI-2540,SEC-1,duplicates
LINK-01365,ECOM-1939,CLOUD-3731,is blocked by
LINK-01366,PORTAL-4416,SEC-783,is duplicated by
LINK-01367,ERP-4208,SEC-2000,is duplicated by
LINK-01368,CLOUD-1502,CLOUD-3637,blocks
LINK-01369,CRM-2341,BI-2298,is duplicated by
LINK-01370,CRM-1161,ERP-774,blocks
LINK-01371,CRM-654,MOB-2214,relates to
LINK-01372,CLOUD-1703,CRM-4577,blocks
LINK-01373,ERP-205,DATA-4551,relates to
LINK-01374,MOB-143,SEC-3143,is duplicated by
LINK-01375,ECOM-6,DATA-3544,duplicates
LINK-01376,BANK-4034,MOB-121,relates to
LINK-01377,CLOUD-4311,CLOUD-2084,blocks
LINK-01378,ECOM-1582,PORTAL-3092,blocks
LINK-01379,MOB-430,PORTAL-2913,relates to
LINK-01380,ECOM-239,ERP-1174,relates to
LINK-01381,CLOUD-185,DATA-1221,duplicates
LINK-01382,SEC-322,CRM-800,relates to
LINK-01383,MOB-2796,BANK-1000,duplicates
LINK-01384,PORTAL-4219,ECOM-964,relates to
LINK-01385,DATA-2279,BI-3386,is duplicated by
LINK-01386,DATA-4678,MOB-3085,duplicates
LINK-01387,ERP-507,ECOM-3360,is blocked by
LINK-01388,BANK-4037,BANK-4446,relates to
LINK-01389,PORTAL-2841,BANK-1304,duplicates
LINK-01390,CLOUD-1089,SEC-3953,is duplicated by
LINK-01391,PORTAL-4911,BANK-4059,is blocked by
LINK-01392,CRM-640,CRM-157,is duplicated by
LINK-01393,BI-3072,CLOUD-2280,is blocked by
LINK-01394,CLOUD-3575,CRM-1426,duplicates
LINK-01395,DATA-3878,DATA-1652,duplicates
LINK-01396,CRM-2732,ECOM-231,duplicates
LINK-01397,BI-982,CLOUD-486,is blocked by
LINK-01398,ECOM-1448,SEC-4815,is blocked by
LINK-01399,BI-2171,CRM-1137,is blocked by
LINK-01400,CLOUD-1762,BANK-3023,duplicates
LINK-01401,ERP-759,BI-4630,is duplicated by
LINK-01402,CRM-3530,DATA-4534,is duplicated by
LINK-01403,SEC-1916,PORTAL-3020,blocks
LINK-01404,ECOM-1942,DATA-2579,relates to
LINK-01405,CRM-674,CLOUD-2640,duplicates
LINK-01406,CLOUD-1615,MOB-2725,duplicates
LINK-01407,SEC-2858,DATA-4180,is duplicated by
LINK-01408,MOB-3594,CRM-674,blocks
LINK-01409,CRM-2304,CLOUD-2412,relates to
LINK-01410,CRM-3714,PORTAL-4662,relates to
LINK-01411,DATA-2744,BI-4628,is blocked by
LINK-01412,ECOM-1491,SEC-2871,duplicates
LINK-01413,ECOM-2963,CRM-1606,is blocked by
LINK-01414,CLOUD-4617,BI-416,relates to
LINK-01415,CRM-4670,BI-3122,is duplicated by
LINK-01416,ERP-4933,PORTAL-255,blocks
LINK-01417,BANK-1323,CLOUD-2694,relates to
LINK-01418,ECOM-584,MOB-3579,blocks
LINK-01419,BANK-2663,SEC-2930,duplicates
LINK-01420,BI-3035,SEC-3800,duplicates
LINK-01421,ERP-3262,ECOM-2624,duplicates
LINK-01422,ERP-4372,ECOM-4403,is duplicated by
LINK-01423,SEC-3716,SEC-4755,is duplicated by
LINK-01424,SEC-4168,BANK-3803,relates to
LINK-01425,DATA-2926,BANK-4680,is blocked by
LINK-01426,ERP-2198,PORTAL-4805,is blocked by
LINK-01427,CRM-367,ERP-3748,relates to
LINK-01428,DATA-1169,CRM-2152,relates to
LINK-01429,BI-474,MOB-2484,is blocked by
LINK-01430,BI-2363,DATA-4702,is blocked by
LINK-01431,ERP-2618,SEC-328,is blocked by
LINK-01432,SEC-1387,SEC-4412,blocks
LINK-01433,CRM-4734,BI-3494,duplicates
LINK-01434,CRM-762,BANK-4320,is duplicated by
LINK-01435,ERP-1932,MOB-3270,is duplicated by
LINK-01436,MOB-1668,BI-3590,is duplicated by
LINK-01437,SEC-4700,SEC-1631,duplicates
LINK-01438,ECOM-2369,PORTAL-4460,relates to
LINK-01439,DATA-2040,CLOUD-144,is duplicated by
LINK-01440,BANK-155,ERP-75,blocks
LINK-01441,ERP-2489,CRM-4888,blocks
LINK-01442,MOB-1416,SEC-2182,blocks
LINK-01443,SEC-1265,PORTAL-4293,blocks
LINK-01444,ECOM-2219,DATA-4575,relates to
LINK-01445,BANK-2698,PORTAL-3838,relates to
LINK-01446,BANK-2017,CLOUD-1005,is duplicated by
LINK-01447,CLOUD-4849,ERP-3777,relates to
LINK-01448,MOB-1111,CRM-1382,is blocked by
LINK-01449,ERP-42,MOB-4084,duplicates
LINK-01450,ECOM-1255,MOB-3571,duplicates
LINK-01451,SEC-4154,CLOUD-1106,is blocked by
LINK-01452,PORTAL-4263,MOB-366,is duplicated by
LINK-01453,BANK-2335,ECOM-1314,blocks
LINK-01454,BI-2547,PORTAL-1571,is blocked by
LINK-01455,MOB-3556,SEC-1234,is blocked by
LINK-01456,CRM-837,PORTAL-2266,relates to
LINK-01457,BI-2355,BI-307,is duplicated by
LINK-01458,BANK-4842,SEC-4503,relates to
LINK-01459,SEC-1843,CRM-2834,is blocked by
LINK-01460,CLOUD-73,PORTAL-197,is duplicated by
LINK-01461,CLOUD-4469,ECOM-3110,relates to
LINK-01462,CLOUD-3955,CRM-1473,blocks
LINK-01463,SEC-1851,BANK-1373,blocks
LINK-01464,PORTAL-2297,PORTAL-2046,duplicates
LINK-01465,DATA-2736,SEC-2814,blocks
LINK-01466,CRM-4603,MOB-1111,is blocked by
LINK-01467,PORTAL-516,PORTAL-3473,is duplicated by
LINK-01468,CRM-1461,BANK-3321,is blocked by
LINK-01469,SEC-1234,BI-2630,blocks
LINK-01470,ECOM-1537,CLOUD-1400,duplicates
LINK-01471,BI-208,CRM-3975,is blocked by
LINK-01472,MOB-3997,SEC-607,relates to
LINK-01473,ECOM-283,CRM-4827,relates to
LINK-01474,CRM-2099,PORTAL-3436,relates to
LINK-01475,MOB-4814,SEC-4026,relates to
LINK-01476,BI-1663,MOB-4401,is blocked by
LINK-01477,SEC-4352,CLOUD-354,is blocked by
LINK-01478,BANK-2693,DATA-3393,is blocked by
LINK-01479,BI-3275,ERP-1039,is blocked by
LINK-01480,PORTAL-3630,CLOUD-3252,is blocked by
LINK-01481,ECOM-4722,DATA-3084,duplicates
LINK-01482,ECOM-2595,ECOM-4294,blocks
LINK-01483,DATA-4077,ECOM-2367,is blocked by
LINK-01484,ECOM-2239,DATA-2134,blocks
LINK-01485,DATA-3295,ERP-2998,relates to
LINK-01486,MOB-3136,SEC-2021,duplicates
LINK-01487,BI-2230,ERP-4016,relates to
LINK-01488,PORTAL-2030,MOB-1479,is duplicated by
LINK-01489,CRM-1394,DATA-2122,relates to
LINK-01490,SEC-4912,SEC-521,duplicates
LINK-01491,BI-2068,CRM-1574,blocks
LINK-01492,ECOM-632,PORTAL-2516,is blocked by
LINK-01493,PORTAL-4544,BI-4049,is duplicated by
LINK-01494,CLOUD-1820,BI-3275,duplicates
LINK-01495,BANK-3763,ECOM-3449,duplicates
LINK-01496,BANK-1969,CRM-4708,blocks
LINK-01497,CLOUD-2711,DATA-4030,duplicates
LINK-01498,BI-2303,ECOM-2829,relates to
LINK-01499,ERP-1462,SEC-1568,is blocked by
LINK-01500,CRM-1864,MOB-3569,duplicates
LINK-01501,MOB-670,DATA-4844,blocks
LINK-01502,MOB-4974,BANK-1707,is duplicated by
LINK-01503,CRM-30,ERP-2027,blocks
LINK-01504,CLOUD-2827,SEC-80,blocks
LINK-01505,DATA-329,ERP-3216,blocks
LINK-01506,DATA-805,ECOM-1446,relates to
LINK-01507,DATA-4999,CRM-2733,blocks
LINK-01508,ECOM-3087,PORTAL-4683,is duplicated by
LINK-01509,CRM-4271,ECOM-793,is duplicated by
LINK-01510,MOB-4164,CLOUD-3392,duplicates
LINK-01511,CLOUD-3823,ECOM-1090,blocks
LINK-01512,BI-4468,DATA-629,is duplicated by
LINK-01513,BANK-1038,CRM-1113,is blocked by
LINK-01514,DATA-1690,BANK-758,duplicates
LINK-01515,DATA-3097,CLOUD-4240,is duplicated by
LINK-01516,BI-2483,CRM-1036,is blocked by
LINK-01517,DATA-1135,PORTAL-4454,blocks
LINK-01518,CLOUD-1082,CLOUD-4286,is blocked by
LINK-01519,PORTAL-855,ERP-4121,duplicates
LINK-01520,SEC-2428,DATA-2581,is duplicated by
LINK-01521,DATA-4644,CLOUD-2308,is blocked by
LINK-01522,DATA-3007,PORTAL-4141,is blocked by
LINK-01523,CLOUD-1028,CRM-3103,duplicates
LINK-01524,BANK-4980,BANK-3830,blocks
LINK-01525,BI-22,BANK-3658,blocks
LINK-01526,BI-2443,PORTAL-1453,blocks
LINK-01527,BANK-3830,BI-972,relates to
LINK-01528,MOB-859,ECOM-2971,is blocked by
LINK-01529,ERP-508,BANK-4947,duplicates
LINK-01530,MOB-606,ECOM-4541,blocks
LINK-01531,ECOM-4206,ECOM-2067,is duplicated by
LINK-01532,ECOM-4547,SEC-3486,is blocked by
LINK-01533,BI-884,SEC-4172,blocks
LINK-01534,CLOUD-1703,CLOUD-2929,is blocked by
LINK-01535,SEC-413,SEC-3363,relates to
LINK-01536,DATA-1433,CRM-3016,is duplicated by
LINK-01537,CRM-2791,SEC-1851,is blocked by
LINK-01538,ECOM-3573,DATA-2808,relates to
LINK-01539,CLOUD-4363,CRM-4651,is duplicated by
LINK-01540,BI-3383,SEC-1248,blocks
LINK-01541,MOB-4865,BANK-252,blocks
LINK-01542,ECOM-1020,ECOM-2083,is blocked by
LINK-01543,SEC-3973,ERP-2403,is duplicated by
LINK-01544,DATA-3582,ERP-1901,is duplicated by
LINK-01545,ECOM-3246,MOB-27,is blocked by
LINK-01546,ECOM-2343,PORTAL-4662,is blocked by
LINK-01547,BANK-1079,ECOM-4424,is blocked by
LINK-01548,CRM-4254,BANK-481,relates to
LINK-01549,ERP-2784,SEC-4005,duplicates
LINK-01550,DATA-2285,DATA-1693,blocks
LINK-01551,ERP-2337,ECOM-4705,blocks
LINK-01552,SEC-2948,CRM-3106,blocks
LINK-01553,BI-4202,CLOUD-3615,is blocked by
LINK-01554,MOB-2725,CRM-3975,duplicates
LINK-01555,ECOM-2942,CRM-240,duplicates
LINK-01556,PORTAL-2071,CLOUD-684,blocks
LINK-01557,BI-2191,SEC-2814,is blocked by
LINK-01558,BANK-2488,PORTAL-1196,is duplicated by
LINK-01559,CLOUD-4309,SEC-2420,relates to
LINK-01560,CLOUD-968,BANK-4640,is blocked by
LINK-01561,SEC-4201,CRM-3037,duplicates
LINK-01562,CRM-2313,BI-2740,is blocked by
LINK-01563,ERP-2120,MOB-4706,is duplicated by
LINK-01564,BANK-1458,MOB-4615,is blocked by
LINK-01565,CLOUD-3955,BANK-3635,relates to
LINK-01566,DATA-4999,BANK-2958,duplicates
LINK-01567,PORTAL-1126,MOB-288,is blocked by
LINK-01568,CRM-3016,BANK-4666,duplicates
LINK-01569,BANK-2873,BI-2921,is duplicated by
LINK-01570,SEC-1325,ECOM-2032,is blocked by
LINK-01571,SEC-2683,CLOUD-2929,blocks
LINK-01572,DATA-4735,DATA-3819,duplicates
LINK-01573,MOB-1698,SEC-1250,duplicates
LINK-01574,ECOM-1357,BI-2418,relates to
LINK-01575,SEC-2406,CRM-1161,blocks
LINK-01576,BI-4936,BANK-3445,is blocked by
LINK-01577,BANK-2668,ERP-3822,is duplicated by
